amfi_code,level_1,mean,std,Rolling_Sharpe,date
100016,5750,,,,2022-01-03
100016,5751,,,,2022-01-04
100016,5752,,,,2022-01-05
100016,5753,,,,2022-01-06
100016,5754,,,,2022-01-07
100016,5755,,,,2022-01-10
100016,5756,,,,2022-01-11
100016,5757,,,,2022-01-12
100016,5758,,,,2022-01-13
100016,5759,,,,2022-01-14
100016,5760,,,,2022-01-17
100016,5761,,,,2022-01-18
100016,5762,,,,2022-01-19
100016,5763,,,,2022-01-20
100016,5764,,,,2022-01-21
100016,5765,,,,2022-01-24
100016,5766,,,,2022-01-25
100016,5767,,,,2022-01-26
100016,5768,,,,2022-01-27
100016,5769,,,,2022-01-28
100016,5770,,,,2022-01-31
100016,5771,,,,2022-02-01
100016,5772,,,,2022-02-02
100016,5773,,,,2022-02-03
100016,5774,,,,2022-02-04
100016,5775,,,,2022-02-07
100016,5776,,,,2022-02-08
100016,5777,,,,2022-02-09
100016,5778,,,,2022-02-10
100016,5779,,,,2022-02-11
100016,5780,,,,2022-02-14
100016,5781,,,,2022-02-15
100016,5782,,,,2022-02-16
100016,5783,,,,2022-02-17
100016,5784,,,,2022-02-18
100016,5785,,,,2022-02-21
100016,5786,,,,2022-02-22
100016,5787,,,,2022-02-23
100016,5788,,,,2022-02-24
100016,5789,,,,2022-02-25
100016,5790,,,,2022-02-28
100016,5791,,,,2022-03-01
100016,5792,,,,2022-03-02
100016,5793,,,,2022-03-03
100016,5794,,,,2022-03-04
100016,5795,,,,2022-03-07
100016,5796,,,,2022-03-08
100016,5797,,,,2022-03-09
100016,5798,,,,2022-03-10
100016,5799,,,,2022-03-11
100016,5800,,,,2022-03-14
100016,5801,,,,2022-03-15
100016,5802,,,,2022-03-16
100016,5803,,,,2022-03-17
100016,5804,,,,2022-03-18
100016,5805,,,,2022-03-21
100016,5806,,,,2022-03-22
100016,5807,,,,2022-03-23
100016,5808,,,,2022-03-24
100016,5809,,,,2022-03-25
100016,5810,,,,2022-03-28
100016,5811,,,,2022-03-29
100016,5812,,,,2022-03-30
100016,5813,,,,2022-03-31
100016,5814,,,,2022-04-01
100016,5815,,,,2022-04-04
100016,5816,,,,2022-04-05
100016,5817,,,,2022-04-06
100016,5818,,,,2022-04-07
100016,5819,,,,2022-04-08
100016,5820,,,,2022-04-11
100016,5821,,,,2022-04-12
100016,5822,,,,2022-04-13
100016,5823,,,,2022-04-14
100016,5824,,,,2022-04-15
100016,5825,,,,2022-04-18
100016,5826,,,,2022-04-19
100016,5827,,,,2022-04-20
100016,5828,,,,2022-04-21
100016,5829,,,,2022-04-22
100016,5830,,,,2022-04-25
100016,5831,,,,2022-04-26
100016,5832,,,,2022-04-27
100016,5833,,,,2022-04-28
100016,5834,,,,2022-04-29
100016,5835,,,,2022-05-02
100016,5836,,,,2022-05-03
100016,5837,,,,2022-05-04
100016,5838,,,,2022-05-05
100016,5839,,,,2022-05-06
100016,5840,-3.872586352487378e-05,0.009488892385512707,-0.06478670008913191,2022-05-09
100016,5841,-3.518120991158829e-05,0.00948507280631645,-0.05888034861668378,2022-05-10
100016,5842,-0.00031785795172904535,0.009475387411753335,-0.5325205541313983,2022-05-11
100016,5843,-0.00039200484054502133,0.009588340059353388,-0.6490053425695449,2022-05-12
100016,5844,-0.00030191457918776505,0.009618611462344275,-0.49827829942568036,2022-05-13
100016,5845,-0.00025351943297407343,0.009587100551127607,-0.41978241612952405,2022-05-16
100016,5846,-1.88553674409126e-05,0.009981413297877075,-0.029987705130700912,2022-05-17
100016,5847,-8.347166145404995e-05,0.010015793354670831,-0.1322982113798116,2022-05-18
100016,5848,-0.0001227094450066388,0.010038399788551323,-0.19405005688850466,2022-05-19
100016,5849,-0.00026196834647021554,0.010010324801570375,-0.415432931420326,2022-05-20
100016,5850,-0.000240991559489851,0.01001450133044826,-0.38200827785834474,2022-05-23
100016,5851,-0.0003377642698230993,0.010004532347364502,-0.5359412486385641,2022-05-24
100016,5852,-0.00018177241237500802,0.009991496254304939,-0.28880034748509636,2022-05-25
100016,5853,-0.00014042181662274396,0.009950476782077954,-0.22402215304950146,2022-05-26
100016,5854,-0.0002855670711042868,0.010021852844213164,-0.45233519061735594,2022-05-27
100016,5855,-0.00042926002276980746,0.010142946235895598,-0.6718256658079702,2022-05-30
100016,5856,-0.0007067250604069739,0.01030375347661846,-1.088818026970653,2022-05-31
100016,5857,-0.0007495699224511382,0.010309590671426158,-1.1541732363184174,2022-06-01
100016,5858,-0.0007991643293662309,0.010305358775464714,-1.2310430630774887,2022-06-02
100016,5859,-0.0007028756393426766,0.010223567717461779,-1.0913807365681205,2022-06-03
100016,5860,-0.0007669932963509534,0.010126913800319036,-1.2023051994385638,2022-06-06
100016,5861,-0.0006298488500434278,0.010207903764445565,-0.979490084876658,2022-06-07
100016,5862,-0.0007312296768465676,0.010179656063808594,-1.140304857499665,2022-06-08
100016,5863,-0.0008240534415821682,0.010273587208516864,-1.2733082004575058,2022-06-09
100016,5864,-0.0009097148250580241,0.01027148307037328,-1.4059581316165435,2022-06-10
100016,5865,-0.0008413650578529077,0.010224521969963464,-1.306296398856222,2022-06-13
100016,5866,-0.0009500160902230961,0.010218939178025117,-1.475792901270188,2022-06-14
